address,name,size,is_thunk
0x8001add8,FUN_8001add8,244,False
0x8001aecc,FUN_8001aecc,132,False
0x8001afc4,FUN_8001afc4,152,False
0x8001b05c,FUN_8001b05c,240,False
0x8001b5b0,FUN_8001b5b0,356,False
0x8001b754,FUN_8001b754,68,False
0x8001b798,FUN_8001b798,588,False
0x8001b9e4,FUN_8001b9e4,144,False
0x8001ba74,FUN_8001ba74,280,False
0x8001bb8c,FUN_8001bb8c,352,False
0x8001bcec,FUN_8001bcec,124,False
0x8001bd68,FUN_8001bd68,448,False
0x8001bf28,FUN_8001bf28,236,False
0x8001c014,FUN_8001c014,572,False
0x8001c250,FUN_8001c250,596,False
0x8001c4a4,FUN_8001c4a4,232,False
0x8001c58c,FUN_8001c58c,936,False
0x8001c948,FUN_8001c948,268,False
0x8001ca54,FUN_8001ca54,304,False
0x8001cb84,FUN_8001cb84,128,False
0x8001cc04,FUN_8001cc04,68,False
0x8001cc5c,FUN_8001cc5c,308,False
0x8001cd90,FUN_8001cd90,116,False
0x8001ce04,FUN_8001ce04,36,False
0x8001ce28,FUN_8001ce28,12,False
0x8001ce34,FUN_8001ce34,96,False
0x8001ce94,FUN_8001ce94,72,False
0x8001cedc,FUN_8001cedc,152,False
0x8001cf74,FUN_8001cf74,408,False
0x8001d10c,FUN_8001d10c,196,False
0x8001d1d0,FUN_8001d1d0,156,False
0x8001d26c,FUN_8001d26c,32,False
0x8001d28c,FUN_8001d28c,60,False
0x8001d2c8,FUN_8001d2c8,64,False
0x8001d308,FUN_8001d308,116,False
0x8001d37c,FUN_8001d37c,60,False
0x8001d3b8,FUN_8001d3b8,144,False
0x8001d448,FUN_8001d448,64,False
0x8001d488,FUN_8001d488,60,False
0x8001d4c4,FUN_8001d4c4,92,False
0x8001d520,FUN_8001d520,144,False
0x8001d5b0,FUN_8001d5b0,656,False
0x8001d840,FUN_8001d840,160,False
0x8001d8e0,FUN_8001d8e0,260,False
0x8001d9e4,FUN_8001d9e4,220,False
0x8001dac0,FUN_8001dac0,532,False
0x8001dd94,FUN_8001dd94,68,False
0x8001ddd8,FUN_8001ddd8,48,False
0x8001de08,FUN_8001de08,44,False
0x8001de34,FUN_8001de34,40,False
0x8001de5c,FUN_8001de5c,208,False
0x8001df2c,FUN_8001df2c,56,False
0x8001df64,FUN_8001df64,148,False
0x8001dff8,FUN_8001dff8,148,False
0x8001e08c,FUN_8001e08c,156,False
0x8001e128,FUN_8001e128,24,False
0x8001ee54,FUN_8001ee54,72,False
0x8001ee9c,FUN_8001ee9c,48,False
0x8001eecc,FUN_8001eecc,588,False
0x8001f118,FUN_8001f118,452,False
0x8001f2dc,FUN_8001f2dc,108,False
0x8001f348,FUN_8001f348,100,False
0x8001f3ac,FUN_8001f3ac,16,False
0x8001f3bc,FUN_8001f3bc,8,False
0x8001f3c4,FUN_8001f3c4,184,False
0x8001f47c,FUN_8001f47c,188,False
0x8001f538,FUN_8001f538,40,False
0x8001f560,FUN_8001f560,24,False
0x8001f578,FUN_8001f578,720,False
0x8001f848,FUN_8001f848,140,False
0x8001f8d4,FUN_8001f8d4,60,False
0x8001f910,FUN_8001f910,300,False
0x8001fa3c,FUN_8001fa3c,172,False
0x8001fae8,FUN_8001fae8,188,False
0x8001fba4,FUN_8001fba4,112,False
0x8001fc14,FUN_8001fc14,204,False
0x8001fce0,FUN_8001fce0,168,False
0x8001fd88,FUN_8001fd88,244,False
0x8001fe7c,FUN_8001fe7c,300,False
0x8001ffa8,FUN_8001ffa8,84,False
0x8001fffc,FUN_8001fffc,76,False
0x80020048,FUN_80020048,92,False
0x800200a4,FUN_800200a4,188,False
0x80020254,FUN_80020254,120,False
0x800202cc,FUN_800202cc,88,False
0x80020324,FUN_80020324,388,False
0x800204a8,FUN_800204a8,104,False
0x80020510,FUN_80020510,104,False
0x80020578,FUN_80020578,88,False
0x800205d0,FUN_800205d0,36,False
0x800205f4,FUN_800205f4,100,False
0x80020668,FUN_80020668,256,False
0x80020768,FUN_80020768,84,False
0x800207bc,FUN_800207bc,132,False
0x80020840,FUN_80020840,32,False
0x80020860,FUN_80020860,48,False
0x80020890,FUN_80020890,28,False
0x800208ac,FUN_800208ac,40,False
0x800208d4,FUN_800208d4,40,False
0x800208fc,FUN_800208fc,128,False
0x8002097c,FUN_8002097c,64,False
0x800209bc,FUN_800209bc,64,False
0x800209fc,FUN_800209fc,80,False
0x80020a4c,FUN_80020a4c,96,False
0x80020aac,FUN_80020aac,48,False
0x80020adc,FUN_80020adc,252,False
0x80020bd8,FUN_80020bd8,112,False
0x80020c48,FUN_80020c48,344,False
0x80020da0,FUN_80020da0,16,False
0x80020db0,FUN_80020db0,92,False
0x80020e0c,FUN_80020e0c,116,False
0x80020e80,FUN_80020e80,44,False
0x80020eac,FUN_80020eac,300,False
0x80020fd8,FUN_80020fd8,288,False
0x800210f8,FUN_800210f8,92,False
0x80021154,FUN_80021154,140,False
0x800211e0,FUN_800211e0,192,False
0x800212a0,FUN_800212a0,36,False
0x800212c4,FUN_800212c4,268,False
0x800213d0,FUN_800213d0,148,False
0x80021464,FUN_80021464,464,False
0x80021634,FUN_80021634,116,False
0x800216a8,FUN_800216a8,16,False
0x800216b8,FUN_800216b8,40,False
0x800216e0,FUN_800216e0,16,False
0x800216f0,FUN_800216f0,172,False
0x8002179c,FUN_8002179c,128,False
0x8002181c,FUN_8002181c,196,False
0x800218e0,FUN_800218e0,376,False
0x80021a58,FUN_80021a58,196,False
0x80021b1c,FUN_80021b1c,76,False
0x80021b68,FUN_80021b68,16,False
0x80021b78,FUN_80021b78,104,False
0x80021be0,FUN_80021be0,124,False
0x80021c5c,FUN_80021c5c,64,False
0x80021c9c,FUN_80021c9c,116,False
0x80021d10,FUN_80021d10,104,False
0x80021d78,FUN_80021d78,448,False
0x80021f38,FUN_80021f38,56,False
0x80021f70,FUN_80021f70,44,False
0x80022330,FUN_80022330,316,False
0x8002246c,FUN_8002246c,136,False
0x80022504,FUN_80022504,172,False
0x800225b0,FUN_800225b0,296,False
0x800226d8,FUN_800226d8,416,False
0x80022878,FUN_80022878,8,False
0x80022880,FUN_80022880,136,False
0x80022908,FUN_80022908,704,False
0x80022bc8,FUN_80022bc8,144,False
0x80022c58,FUN_80022c58,332,False
0x80022da4,FUN_80022da4,156,False
0x80022e50,FUN_80022e50,212,False
0x80022f24,FUN_80022f24,356,False
0x80023088,FUN_80023088,132,False
0x8002310c,FUN_8002310c,156,False
0x800231a8,FUN_800231a8,176,False
0x80023258,FUN_80023258,400,False
0x800233e8,FUN_800233e8,260,False
0x800234ec,FUN_800234ec,16,False
0x800234fc,FUN_800234fc,72,False
0x80023544,FUN_80023544,236,False
0x80023630,FUN_80023630,216,False
0x80023708,FUN_80023708,164,False
0x800237ac,FUN_800237ac,208,False
0x8002387c,FUN_8002387c,76,False
0x800238c8,FUN_800238c8,72,False
0x80023910,FUN_80023910,60,False
0x8002394c,FUN_8002394c,40,False
0x80023974,FUN_80023974,72,False
0x800239bc,FUN_800239bc,140,False
0x80023a48,FUN_80023a48,184,False
0x80023b00,FUN_80023b00,52,False
0x80023b68,FUN_80023b68,400,False
0x80023cf8,FUN_80023cf8,120,False
0x80023d70,FUN_80023d70,136,False
0x80023df8,FUN_80023df8,120,False
0x80023e70,FUN_80023e70,24,False
0x80023e88,FUN_80023e88,108,False
0x80023ef4,FUN_80023ef4,120,False
0x80023f6c,FUN_80023f6c,276,False
0x80024080,FUN_80024080,340,False
0x800241d4,FUN_800241d4,176,False
0x80024284,FUN_80024284,744,False
0x8002456c,FUN_8002456c,280,False
0x80024684,FUN_80024684,140,False
0x80024710,FUN_80024710,1352,False
0x80024c58,FUN_80024c58,184,False
0x80024d10,FUN_80024d10,504,False
0x80024f08,FUN_80024f08,936,False
0x800252b0,FUN_800252b0,408,False
0x80025448,FUN_80025448,228,False
0x8002552c,FUN_8002552c,1252,False
0x80025a10,FUN_80025a10,80,False
0x80025a60,FUN_80025a60,116,False
0x80025ad4,FUN_80025ad4,3100,False
0x800266f0,FUN_800266f0,464,False
0x800268c0,FUN_800268c0,64,False
0x80026900,FUN_80026900,64,False
0x80026940,FUN_80026940,64,False
0x80026980,FUN_80026980,64,False
0x800269c0,FUN_800269c0,892,False
0x80026d3c,FUN_80026d3c,64,False
0x80026d7c,FUN_80026d7c,64,False
0x80026dbc,FUN_80026dbc,364,False
0x80026f28,FUN_80026f28,1876,False
0x8002767c,FUN_8002767c,2068,False
0x80027e90,FUN_80027e90,1876,False
0x800285e4,FUN_800285e4,80,False
0x80028634,FUN_80028634,40,False
0x8002865c,FUN_8002865c,784,False
0x8002896c,FUN_8002896c,4156,False
0x800299a8,FUN_800299a8,572,False
0x80029be4,FUN_80029be4,364,False
0x80029d50,FUN_80029d50,92,False
0x80029dac,FUN_80029dac,16,False
0x80029dbc,FUN_80029dbc,228,False
0x80029ea0,FUN_80029ea0,220,False
0x8002a190,FUN_8002a190,256,False
0x8002a290,FUN_8002a290,44,False
0x8002a2bc,FUN_8002a2bc,348,False
0x8002a418,FUN_8002a418,152,False
0x8002a4b0,FUN_8002a4b0,152,False
0x8002a548,FUN_8002a548,412,False
0x8002a6e4,FUN_8002a6e4,376,False
0x8002a85c,FUN_8002a85c,1288,False
0x8002ad64,FUN_8002ad64,200,False
0x8002ae2c,FUN_8002ae2c,312,False
0x8002af64,FUN_8002af64,208,False
0x8002b034,FUN_8002b034,40,False
0x8002b05c,FUN_8002b05c,152,False
0x8002b0f4,FUN_8002b0f4,220,False
0x8002b1d0,FUN_8002b1d0,264,False
0x8002b2d8,FUN_8002b2d8,352,False
0x8002b438,FUN_8002b438,4,False
0x8002b43c,DsStatus,32,False
0x8002b45c,FUN_8002b45c,80,False
0x8002b4ac,FUN_8002b4ac,20,False
0x8002b4c0,FUN_8002b4c0,476,False
0x8002b69c,FUN_8002b69c,300,False
0x8002b7c8,FUN_8002b7c8,72,False
0x8002b810,FUN_8002b810,272,False
0x8002b920,FUN_8002b920,236,False
0x8002ba0c,FUN_8002ba0c,156,False
0x8002baa8,FUN_8002baa8,624,False
0x8002bd18,FUN_8002bd18,260,False
0x8002be1c,FUN_8002be1c,48,False
0x8002be4c,FUN_8002be4c,180,False
0x8002bf00,FUN_8002bf00,124,False
0x8002bf7c,FUN_8002bf7c,128,False
0x8002bffc,FUN_8002bffc,148,False
